Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-31 22:11:18,obrienbarbara@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 13:09:43,bookersheri@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 18:28:06,armstrongbrenda@garner-le.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 20:49:56,christopher01@perez.net,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 02:19:23,nicholas58@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 23:33:51,justinsanders@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,I prefer completely different hobbies
2025-08-31 15:32:33,matthew15@doyle.info,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 10:09:09,fyoung@yahoo.com,Study/Work habits,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-31 15:17:01,rmoore@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 04:56:47,guerranicholas@gmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,I prefer completely different hobbies
2025-08-30 13:45:35,oruiz@powell.biz,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 09:47:41,joshua31@murphy.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 15:10:24,john29@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 22:19:59,douglas43@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 07:11:25,andrewsjerry@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 20:54:51,santiagobrett@smith.com,Similar lifestyle & interests,Flexible (adjusts as needed),Doesn’t matter to me,Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 05:00:02,sarah57@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 11:58:01,gbryan@crane-bates.com,Friendly & cooperative nature,Early bird,Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 23:43:18,munozmadison@tucker-martinez.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 20:40:27,olopez@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 03:18:25,bmurphy@neal.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 18:43:39,crystal80@hotmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 02:33:11,jessica30@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 06:47:59,ypalmer@juarez-bond.info,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 22:58:58,ogriffith@hotmail.com,Cleanliness & hygiene,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:26:25,kevinrojas@sweeney-hood.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 04:28:16,thompsondaniel@hotmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-30 09:59:34,qevans@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 11:55:29,donna52@huffman-wood.info,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 15:32:55,craigadams@hotmail.com,Similar lifestyle & interests,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 18:42:56,virginia66@lawrence.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 22:23:27,ryankimberly@lane-nixon.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 18:02:07,megansmith@stewart-ramirez.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 23:49:36,jenningssamuel@castillo.com,Study/Work habits,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 21:36:00,arianamorris@erickson.info,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 05:36:17,theresa69@raymond-clay.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 07:44:09,fernando39@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 00:08:49,ortizalicia@jimenez.info,Cleanliness & hygiene,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 06:17:17,davidgarrett@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 13:57:07,rhart@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 17:16:22,robin52@white-branch.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 17:56:06,linda07@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 07:04:52,seancardenas@keller.com,Friendly & cooperative nature,Doesn’t matter to me,Mostly private (values personal space more),Strictly 50-50 split,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 19:35:25,hawkinsbriana@gmail.com,Friendly & cooperative nature,Early bird,Very social (likes to hang out often),Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 08:31:38,jongray@yahoo.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Very important (I want to share activities)
2025-08-31 04:30:12,michael91@yahoo.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),"Flexible, based on usage",Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 22:05:56,russellrowland@perez-olson.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,I prefer completely different hobbies
2025-08-31 15:53:55,jasminenixon@larson.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 11:11:20,debragarcia@thompson-lewis.com,Cleanliness & hygiene,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 00:47:38,corylane@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 17:28:33,yyang@rowe.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 05:47:34,ismith@freeman.net,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 00:26:21,andrewruiz@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 15:23:12,vwilliams@hotmail.com,Cleanliness & hygiene,Early bird,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 15:12:58,molinaandrew@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 06:19:40,wmadden@martin.com,Friendly & cooperative nature,Doesn’t matter to me,Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 12:37:15,knighthannah@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 02:44:32,xjackson@hoffman.org,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 04:14:21,zparker@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 23:26:18,christopher51@martinez.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Very social (likes to hang out often),Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 07:22:38,richardacosta@gmail.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 22:12:05,schneidertyler@yahoo.com,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 15:54:09,nicholasmedina@trujillo-smith.com,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-30 22:55:01,brandoncox@gmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 18:43:36,mariah50@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 17:11:38,vegakevin@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 15:41:21,rebecca61@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 16:23:17,lwright@yahoo.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 21:18:25,charles48@gmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 06:00:17,fmills@martin.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 20:05:22,frank58@yahoo.com,Study/Work habits,Flexible (adjusts as needed),Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 00:05:32,zmichael@yahoo.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 00:15:40,proctorapril@barron.info,Study/Work habits,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-30 06:56:33,christopher40@yahoo.com,Friendly & cooperative nature,Friendly & cooperative nature,Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 15:46:21,jeremiah13@mendoza-douglas.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 11:05:45,vanderson@yahoo.com,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 20:21:51,kobrien@collins-meza.com,Study/Work habits,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 08:51:37,thomas00@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 00:17:46,chennicholas@hotmail.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 16:43:49,singletonjoseph@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,I prefer completely different hobbies
2025-08-31 06:37:29,aprildelacruz@lewis.info,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 01:21:55,vanessa22@berry-marquez.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Very important (I want to share activities)
2025-08-31 20:27:06,angelafoster@harris.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,I prefer completely different hobbies
2025-08-31 21:39:50,kwatson@roberts.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 09:05:14,dmccoy@bennett-sanchez.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 03:20:14,samuel96@gmail.com,Similar lifestyle & interests,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 20:34:40,gregbailey@gmail.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 12:48:06,erin53@edwards.biz,Similar lifestyle & interests,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-30 14:59:46,russelljennifer@parker.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 03:00:05,kellymejia@hotmail.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 13:32:35,jamie84@harper.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)",Doesn’t matter to me,"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 21:55:22,woodsvictoria@zimmerman.com,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:55:04,fosterjoshua@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 20:01:42,claudia07@gmail.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Not important (as long as we respect each other)
2025-08-31 18:02:06,ldavis@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),Very social (likes to hang out often),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:21:35,christopher48@johnson.info,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 17:44:22,brianaburke@gordon-brown.com,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 10:10:45,bmoore@gmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 19:16:34,durantaylor@gmail.com,Similar lifestyle & interests,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 13:01:37,wagnerlori@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 22:31:15,phaas@hughes.net,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 19:14:04,ryan74@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 18:35:04,stacie15@craig.com,Friendly & cooperative nature,Flexible (adjusts as needed),Doesn’t matter to me,Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 01:57:35,wattseric@houston-edwards.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 13:34:00,paulnicole@abbott-baxter.info,Cleanliness & hygiene,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 04:00:27,manngeorge@yahoo.com,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 15:27:02,nguyengary@gibson.biz,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 00:55:25,vfrazier@hotmail.com,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 02:13:27,brianmiller@bentley-dudley.net,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 09:39:57,cmiller@bryant.com,Friendly & cooperative nature,Doesn’t matter to me,Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 07:43:42,mtaylor@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 14:20:21,james26@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Very important (I want to share activities)
2025-08-31 21:56:40,patrick69@lowe-clarke.info,Friendly & cooperative nature,Doesn’t matter to me,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 16:49:51,robersonmelissa@johnson.biz,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 08:45:55,wrightjennifer@gonzales.com,Study/Work habits,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 10:05:27,brendawilson@rice-sullivan.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 08:21:21,nicholas11@yahoo.com,Study/Work habits,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 01:30:34,courtney71@hotmail.com,Friendly & cooperative nature,Early bird,Doesn’t matter to me,Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-30 14:39:19,keith26@young.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 12:23:25,bgarrett@hotmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Not important (as long as we respect each other)
2025-08-31 09:51:46,jadkins@reeves.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 14:56:23,rossanita@johnson-ortiz.info,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 09:49:56,erin84@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-30 17:00:31,jonathan13@smith.biz,Friendly & cooperative nature,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 07:12:40,gmurphy@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),"Flexible, based on usage",Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-31 01:03:10,mary48@gmail.com,Study/Work habits,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-30 21:21:46,diana07@yahoo.com,Friendly & cooperative nature,Flexible (adjusts as needed),Mostly private (values personal space more),Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 07:39:45,april15@gmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
